cell,fixture,sampling,noise,anchor_i,sample_id,K_H_T2,K_dir_T2,K_H_T3,K_dir_T3,K_H_pw,K_dir_pw,q_n_eff,q_design_cond,radius_lat,s_x,rms_eps
F1_S0_N0,F1,S0,N0,2,100073,0.21054452853309116,0.21796587332650075,0.315145437109227,0.322173896570289,0.5624999999999992,0.5624999999999992,1024,95.301865245344,1.0346672828028578,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,3,100211,0.18516995524467797,0.1937480560827426,0.2704550472183407,0.276431125780082,0.562499999999999,0.562499999999999,1024,125.33997714765447,1.147182376449146,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,4,100020,0.07018794190100724,0.09126014605246663,0.27466326176688904,0.28537076288597474,0.5624999999999998,0.5624999999999998,1024,317.7980042370962,1.4434746430099836,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,5,100043,0.15684198888084827,0.16801802150906525,0.26441580078095644,0.2714645933901896,0.5625000000000003,0.5625000000000003,1024,154.7870151893139,1.227992407462407,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,6,100127,0.23859046583505522,0.24258032009579797,0.3023784658081362,0.3065359514354411,0.5624999999999993,0.5624999999999993,1024,58.01754199695658,0.8578408266725313,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,7,100101,0.036391697029357524,0.06299862726356535,0.2681371863261729,0.27506251934902703,0.5625,0.5625,1024,373.39534244348147,1.5067881549616629,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,8,100152,0.2127425332050582,0.21940553159810336,0.27958162099889455,0.28416406803801975,0.5624999999999998,0.5624999999999998,1024,96.61555235417707,1.0541788934302585,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,9,100169,0.22078289995973877,0.22665462745193382,0.32061717535515116,0.32477729091198004,0.5625000000000001,0.5625000000000001,1024,85.82077226763543,1.0000564638428644,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,10,100149,0.17357210145448446,0.18337515088510906,0.270267179790639,0.2758006114509526,0.5625000000000001,0.5625000000000001,1024,140.37942284089752,1.1711094388054784,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,11,100167,0.22036715730151482,0.22616351049935618,0.26976064549156564,0.27336371299283074,0.5625000000000001,0.5625000000000001,1024,82.29815369123048,0.981718610532863,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,12,100145,0.11435088386236156,0.1298593871324776,0.2658714177535008,0.2751170435511808,0.5625000000000001,0.5625000000000001,1024,235.0738559379797,1.3385847530354993,0.7999234138894432,0.0
