shape,intrinsic_dimension,snr_db,observed_support_dimension,method,mean,std,absolute_relative_error_percent
linear,5,,5,shannon_entropy,4.998552326313207,0.00046951868592854724,0.02895347373585988
linear,5,,5,renyi_eff_dimensionality_alpha_2,4.997114997891493,0.0009296650719351478,0.05770004217013902
linear,5,,5,renyi_eff_dimensionality_alpha_3,4.995688501966589,0.0013803741289825353,0.08622996066822708
linear,5,,5,renyi_eff_dimensionality_alpha_4,4.994273299468138,0.0018216065819439678,0.114534010637235
linear,5,,5,renyi_eff_dimensionality_alpha_5,4.992869824756123,0.0022533474514774402,0.14260350487754758
linear,5,,5,geometric_mean_eff_dimensionality,641443163148651.8,8688950484716.022,1.2828863262972934e+16
linear,5,,5,mle_dimensionality,5.707492702309336,0.032666926829897365,14.149854046186716
linear,5,,5,two_nn_dimensionality,5.078232375851263,0.06547731821253569,1.5646475170252527
linear,5,,5,danco_dimensionality,4.805306472508971,0.01702259783898186,3.8938705498205772
linear,5,,5,mind_mli_dimensionality,0.6194367535411829,0.02374410617417972,87.61126492917634
linear,5,,5,mind_mlk_dimensionality,5.252612108947156,0.03607017346745399,5.052242178943134
linear,5,,5,ess_dimensionality,0.5551259300312716,0.004267271693880692,88.89748139937457
linear,5,,5,tle_dimensionality,5.707492702309336,0.03266692682989737,14.149854046186716
linear,5,,5,isomap_dimensionality,5.0,0.0,0.0
linear,5,30.0,256,pca_explained_variance_95,5.0,0.0,0.0
linear,5,30.0,256,participation_ratio,5.006841432753685,0.0005944506261345881,0.13682865507369524
linear,5,30.0,256,shannon_entropy,5.056760747166399,0.00028267445298496904,1.135214943327978
linear,5,30.0,256,renyi_eff_dimensionality_alpha_2,5.006841432753681,0.000594450626134012,0.13682865507362862
linear,5,30.0,256,renyi_eff_dimensionality_alpha_3,5.002920078001844,0.0008968211105525993,0.05840156003686925
linear,5,30.0,256,renyi_eff_dimensionality_alpha_4,5.000642266837673,0.0011995401064260533,0.012845336753453118
linear,5,30.0,256,renyi_eff_dimensionality_alpha_5,4.9987821120116696,0.0015027802323246595,0.024357759766613363
linear,5,30.0,256,geometric_mean_eff_dimensionality,820.4520939011652,1.0234152948235349,16309.041878023305
linear,5,30.0,256,mle_dimensionality,5.897034532700654,0.01754643608517779,17.940690654013068
linear,5,30.0,256,two_nn_dimensionality,5.433985133037689,0.061928570685786916,8.679702660753774
linear,5,30.0,256,danco_dimensionality,5.069743767537913,0.014674830238256985,1.3948753507582623
linear,5,30.0,256,mind_mli_dimensionality,0.6704970440876973,0.05079704689511102,86.59005911824606
linear,5,30.0,256,mind_mlk_dimensionality,5.432741539390862,0.017839845387396518,8.654830787817236
linear,5,30.0,256,ess_dimensionality,0.5194967998361706,0.0033029310871251264,89.61006400327659
linear,5,30.0,256,tle_dimensionality,5.897034532700655,0.01754643608517821,17.940690654013093
linear,5,30.0,256,isomap_dimensionality,5.0,0.0,0.0
linear,5,20.0,256,pca_explained_variance_95,5.0,0.0,0.0
linear,5,20.0,256,participation_ratio,5.094803841295109,0.0010628739476069183,1.896076825902182
linear,5,20.0,256,shannon_entropy,5.482832455679113,0.0005085622404227072,9.656649113582262
linear,5,20.0,256,renyi_eff_dimensionality_alpha_2,5.094803841295107,0.001062873947604444,1.8960768259021377
linear,5,20.0,256,renyi_eff_dimensionality_alpha_3,5.068182021058594,0.0015961364493490098,1.3636404211718745
linear,5,20.0,256,renyi_eff_dimensionality_alpha_4,5.058103542652445,0.0021268814882469092,1.162070853048891
linear,5,20.0,256,renyi_eff_dimensionality_alpha_5,5.0521454141819575,0.002655658145805152,1.0429082836391546
linear,5,20.0,256,geometric_mean_eff_dimensionality,86.55684779593608,0.023533034522694382,1631.1369559187217
linear,5,20.0,256,mle_dimensionality,7.377881567056493,0.051483415698043766,47.55763134112985
linear,5,20.0,256,two_nn_dimensionality,8.405834889613718,0.17785585586044966,68.11669779227437
