scheme,replicate,outcome,controlled,raw,n,estimator
conditional_support,5,r2_P,-0.13465169773749444,0.053123050920680696,512,K_H
conditional_support,5,mse_P,0.1401219944839267,0.29821888124992846,512,K_H
conditional_support,5,delta_adapt,0.15939445503026975,0.06629408853183186,512,K_H
conditional_support,6,r2_G,-0.2397380973838706,-0.41418990541422046,512,K_H
conditional_support,6,mse_G,0.24270588357308798,0.3504879135624449,512,K_H
conditional_support,6,r2_P,-0.15638455799887846,0.029804999084469163,512,K_H
conditional_support,6,mse_P,0.1790304456918552,0.2939466424337098,512,K_H
conditional_support,6,delta_adapt,0.1908773610681956,0.08804894299103924,512,K_H
conditional_support,7,r2_G,-0.20434344279648892,-0.39384473598379516,512,K_H
conditional_support,7,mse_G,0.2163748054496973,0.35556052660189286,512,K_H
conditional_support,7,r2_P,-0.1045197361268468,0.05854381601835639,512,K_H
conditional_support,7,mse_P,0.13340375052929127,0.3002591560236207,512,K_H
conditional_support,7,delta_adapt,0.1423643297742072,0.07246802079399411,512,K_H
conditional_support,8,r2_G,-0.2280375417710944,-0.4038927763186505,512,K_H
conditional_support,8,mse_G,0.21979132691889539,0.3823518735480253,512,K_H
conditional_support,8,r2_P,-0.1350519742564173,0.05697793642210549,512,K_H
conditional_support,8,mse_P,0.16103490032158022,0.32921380219956287,512,K_H
conditional_support,8,delta_adapt,0.15800899938201668,0.05018119285084858,512,K_H
conditional_support,9,r2_G,-0.1964213294366052,-0.3813174309918632,512,K_H
conditional_support,9,mse_G,0.1599487803412641,0.34727264794406104,512,K_H
conditional_support,9,r2_P,-0.11703318298600382,0.04741126503473295,512,K_H
conditional_support,9,mse_P,0.1375614585836738,0.3005540213261464,512,K_H
conditional_support,9,delta_adapt,0.11613607005527517,0.05849705599615477,512,K_H
conditional_support,10,r2_G,-0.18850806740023576,-0.3814268655371305,512,K_H
conditional_support,10,mse_G,0.18772325004863757,0.33455642530984997,512,K_H
conditional_support,10,r2_P,-0.1044727078827205,0.05631560708277543,512,K_H
conditional_support,10,mse_P,0.12826685363522963,0.28352791939895394,512,K_H
conditional_support,10,delta_adapt,0.11306528664698275,0.07473413842826244,512,K_H
conditional_support,11,r2_G,-0.1887014554079262,-0.3800446285519735,512,K_H
conditional_support,11,mse_G,0.1770789523752303,0.37008885655920626,512,K_H
conditional_support,11,r2_P,-0.10272211278767696,0.07152182325105,512,K_H
conditional_support,11,mse_P,0.13058518513750128,0.3201486164040237,512,K_H
conditional_support,11,delta_adapt,0.1356063889747199,0.049972516193451666,512,K_H
conditional_support,12,r2_G,-0.19990884030853387,-0.38346195468694566,512,K_H
conditional_support,12,mse_G,0.19252638946109565,0.3676471429715842,512,K_H
conditional_support,12,r2_P,-0.12523102848445314,0.05886183781371236,512,K_H
conditional_support,12,mse_P,0.13938501004222886,0.3174828481019902,512,K_H
conditional_support,12,delta_adapt,0.12067277568922306,0.04371373639578398,512,K_H
conditional_support,13,r2_G,-0.24786656281113745,-0.42352143558096156,512,K_H
conditional_support,13,mse_G,0.2352418038532404,0.35615973438161613,512,K_H
conditional_support,13,r2_P,-0.14354575794509103,0.03134763278058159,512,K_H
conditional_support,13,mse_P,0.1603734650553324,0.29928407992011996,512,K_H
conditional_support,13,delta_adapt,0.1873984332978565,0.09532464151245695,512,K_H
conditional_support,14,r2_G,-0.23656476379304425,-0.4131298029605978,512,K_H
conditional_support,14,mse_G,0.2168276534658564,0.34046186742541285,512,K_H
conditional_support,14,r2_P,-0.154384337699271,0.021488957124546525,512,K_H
conditional_support,14,mse_P,0.18058836803767409,0.2879578727068814,512,K_H
conditional_support,14,delta_adapt,0.14964771732413223,0.08483761129421728,512,K_H
conditional_support,15,r2_G,-0.23888050248337742,-0.4103932240704501,512,K_H
conditional_support,15,mse_G,0.21347121370778543,0.3578426481443334,512,K_H
conditional_support,15,r2_P,-0.14471645723898788,0.0416186549421499,512,K_H
conditional_support,15,mse_P,0.16003926053718773,0.30480659053455555,512,K_H
conditional_support,15,delta_adapt,0.1616143490861858,0.06964882955104656,512,K_H
conditional_support,16,r2_G,-0.22485383693251393,-0.3990680897449102,512,K_H
conditional_support,16,mse_G,0.2171733021194539,0.3287008724722766,512,K_H
conditional_support,16,r2_P,-0.15057800036621233,0.02926301198200982,512,K_H
conditional_support,16,mse_P,0.17357606344628695,0.27459300005149856,512,K_H
conditional_support,16,delta_adapt,0.15991569963722088,0.10035272971240886,512,K_H
conditional_support,17,r2_G,-0.2585738926368432,-0.4282732551984985,512,K_H
conditional_support,17,mse_G,0.2476037053249562,0.3457385973495382,512,K_H
conditional_support,17,r2_P,-0.1728168165848411,0.006414706143211911,512,K_H
conditional_support,17,mse_P,0.19765845836051313,0.2898566157116536,512,K_H
conditional_support,17,delta_adapt,0.1582001522070015,0.08390500366212333,512,K_H
conditional_support,18,r2_G,-0.2223380940936817,-0.4010757308511004,512,K_H
conditional_support,18,mse_G,0.21055930708620865,0.33527061088795046,512,K_H
conditional_support,18,r2_P,-0.15186278338540415,0.017157709484899464,512,K_H
conditional_support,18,mse_P,0.17917179864615876,0.2834176801879127,512,K_H
conditional_support,18,delta_adapt,0.1487014303738799,0.08875213147022808,512,K_H
conditional_support,19,r2_G,-0.22312076566988243,-0.4012388991886108,512,K_H
conditional_support,19,mse_G,0.22739434559572444,0.36139158183701264,512,K_H
conditional_support,19,r2_P,-0.14308870778544536,0.04153827777205571,512,K_H
