pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol,sae1_tag,sae2_tag
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,dense_cosine_test_subset,0.022245956667683857,16384,3277,test_subset_mknn,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_best_basis_idf,0.01690570643881599,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,dense_cosine,0.0127197265625,16384,3277,paper_full_catalog,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,dense_cosine_heldout,0.011565456209948123,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,sae_codes_cosine,0.015013732072017089,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,sae_idf_cosine,0.015105279218797682,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side1_basis_cosine,0.016692096429661275,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side1_basis_idf,0.01693622215440952,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side2_basis_cosine,0.01779066219102838,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side2_basis_idf,0.017027769301190113,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,dense_cosine_test_subset,0.022123893805309734,16384,3277,test_subset_mknn,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_best_basis_idf,0.017027769301190113,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,dense_cosine,0.007208251953125,16384,3277,paper_full_catalog,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,dense_cosine_heldout,0.007110161733292646,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,sae_codes_cosine,0.008971620384498016,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,sae_idf_cosine,0.009642966127555691,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side1_basis_cosine,0.011016173329264571,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side1_basis_idf,0.011565456209948123,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side2_basis_cosine,0.009642966127555691,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side2_basis_idf,0.01049740616417455,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,dense_cosine_test_subset,0.015257857796765334,16384,3277,test_subset_mknn,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_best_basis_idf,0.011565456209948123,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,dense_cosine,0.01473388671875,16384,3277,paper_full_catalog,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,dense_cosine_heldout,0.01367104058590174,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,sae_codes_cosine,0.015715593530668294,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,sae_idf_cosine,0.015776624961855355,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side1_basis_cosine,0.01922490082392432,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side1_basis_idf,0.019346963686298443,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side2_basis_cosine,0.018187366493744278,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side2_basis_idf,0.018370460787305462,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,dense_cosine_test_subset,0.024412572474824534,16384,3277,test_subset_mknn,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_best_basis_idf,0.019346963686298443,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,dense_cosine,0.014373779296875,16384,3277,paper_full_catalog,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,dense_cosine_heldout,0.014464449191333537,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,sae_codes_cosine,0.0160207506866036,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,sae_idf_cosine,0.01647848642050656,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side1_basis_cosine,0.017973756484589563,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side1_basis_idf,0.01821788220933781,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side2_basis_cosine,0.017699115044247787,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side2_basis_idf,0.017210863594751297,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,dense_cosine_test_subset,0.02609093683246872,16384,3277,test_subset_mknn,F2048_k23_seed0,F2048_k23_seed0
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_best_basis_idf,0.01821788220933781,16384,3277,heldout_query_full_gallery,F2048_k23_seed0,F2048_k23_seed0
