family,model,size_name,parameter_count,log10_params,embedding_dim,pca_rank,rank_label,raw_dense_mknn,raw_pca_mknn,raw_pca_minus_dense,pca_ridge_mknn,dense_raw_from_pca_sweep,dense_ridge_mknn,ridge_gain_after_pca,ridge_gain_full,I_pca_x_ridge
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,128,128,0.02108635947512969,0.02371071101617333,0.0026243515410436374,0.0422337503814464,0.0210863594751296,0.0472383277387854,0.018523039365273074,0.026151968263655706,-0.007628928898382632
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,256,256,0.02108635947512969,0.02425999389685688,0.0031736344217271895,0.0500457735733902,0.0210863594751296,0.0472383277387854,0.025785779676533317,0.026151968263655706,-0.00036618858712238883
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,512,512,0.02108635947512969,0.02459566676838572,0.003509307293256027,0.0567287152883735,0.0210863594751296,0.0472383277387854,0.03213304851998778,0.026151968263655706,0.005981080256332073
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,full,0.02108635947512969,0.02108635947512969,0.0,0.0472383277387854,0.0210863594751296,0.0472383277387854,0.026151968263655706,0.026151968263655706,0.0
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,8,8,0.022886786695148,0.017180347879157766,-0.005706438815990235,0.0180653036313701,0.022886786695148,0.0345437900518767,0.0008849557522123339,0.011657003356728701,-0.010772047604516367
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,16,16,0.022886786695148,0.022215440952090326,-0.0006713457430576747,0.0248092767775404,0.022886786695148,0.0345437900518767,0.002593835825450072,0.011657003356728701,-0.00906316753127863
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,32,32,0.022886786695148,0.02505340250228868,0.0021666158071406774,0.032895941409826,0.022886786695148,0.0345437900518767,0.00784253890753732,0.011657003356728701,-0.003814464449191382
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,64,64,0.022886786695148,0.02688434543790052,0.0039975587427525175,0.0391821788220933,0.022886786695148,0.0345437900518767,0.012297833384192783,0.011657003356728701,0.0006408300274640816
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,128,128,0.022886786695148,0.02764723832773879,0.004760451632590788,0.0436374732987488,0.022886786695148,0.0345437900518767,0.01599023497101001,0.011657003356728701,0.00433323161428131
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,256,256,0.022886786695148,0.028013426914861157,0.005126640219713156,0.0463228562709795,0.022886786695148,0.0345437900518767,0.018309429356118342,0.011657003356728701,0.0066524259993896405
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,full,0.022886786695148,0.022886786695148,0.0,0.0345437900518767,0.022886786695148,0.0345437900518767,0.011657003356728701,0.011657003356728701,0.0
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,8,8,0.019530057979859627,0.013945682026243517,-0.0055843759536161105,0.0144644491913335,0.0195300579798596,0.0328654256942325,0.0005187671650899832,0.013335367714372874,-0.012816600549282891
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,16,16,0.019530057979859627,0.01788220933780897,-0.001647848642050656,0.0211473909063167,0.0195300579798596,0.0328654256942325,0.0032651815685077294,0.013335367714372874,-0.010070186145865145
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,32,32,0.019530057979859627,0.02194079951174855,0.0024107415318889228,0.0282270369240158,0.0195300579798596,0.0328654256942325,0.006286237412267248,0.013335367714372874,-0.007049130302105626
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,64,64,0.019530057979859627,0.023405553860238022,0.003875495880378395,0.0343606957583155,0.0195300579798596,0.0328654256942325,0.010955141898077475,0.013335367714372874,-0.002380225816295399
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,128,128,0.019530057979859627,0.024321025328043942,0.004790967348184315,0.0391516631064998,0.0195300579798596,0.0328654256942325,0.014830637778455856,0.013335367714372874,0.001495270064082982
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,256,256,0.019530057979859627,0.024931339639914556,0.005401281660054928,0.041806530363137,0.0195300579798596,0.0328654256942325,0.016875190723222445,0.013335367714372874,0.0035398230088495714
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,512,512,0.019530057979859627,0.0251754653646628,0.0056454073848031736,0.0449496490692706,0.0195300579798596,0.0328654256942325,0.019774183704607796,0.013335367714372874,0.006438815990234922
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,full,0.019530057979859627,0.019530057979859627,0.0,0.0328654256942325,0.0195300579798596,0.0328654256942325,0.013335367714372874,0.013335367714372874,0.0
